time,TOTAL,"TOTAL
Domestic resident","TOTAL
Domestic resident
Private non-financial corporations","TOTAL
Domestic resident
MFI","TOTAL
Domestic resident
MFI
Central Bank","TOTAL
Domestic resident
MFI
OMFIs","TOTAL
Domestic resident
Other financial intermediaries and auxiliaries","TOTAL
Domestic resident
Insurance and pension funds","TOTAL
Domestic resident
Public Corporations","TOTAL
Domestic resident
Local government","TOTAL
Domestic resident
HHs and NPISHs","TOTAL
Domestic resident
Other resident","TOTAL
Rest of the World"
2015_2,1656322,1223651,2064,531409,401530,129879,202628,469350,496,1004,6994,9706,432671
2015_3,1689291,1241697,2139,548147,408788,139359,192833,481287,496,592,6786,9417,447594
2015_4,1678112,1210210,1696,540558,403853,136705,179453,472123,496,545,6390,8949,467902
2016_1,1748963,1267771,1821,560108,418832,141276,196979,491780,496,600,6422,9565,481192
2016_2,1908123,1384370,1857,583134,437933,145201,238963,543425,496,524,6171,9800,523753
2016_3,1967792,1425292,1910,611511,459338,152173,211848,582723,496,499,5863,10442,542500
2016_4,1934565,1391308,1805,625768,475087,150681,175036,571409,496,432,6111,10251,543257
2017_1,1965682,1427021,1915,636643,490350,146293,184895,585182,496,511,6706,10673,538661
2017_2,1957813,1416857,1928,631862,482126,149736,178611,586172,496,458,6996,10334,540956
2017_3,1927734,1386970,1908,620717,477547,143170,153569,592649,496,272,7156,10203,540764
2017_4,1976494,1418895,1963,617145,482780,134365,170477,611021,496,582,7673,9538,557599
2018_1,1966243,1412677,2893,611675,471782,139893,164055,615419,496,230,8107,9802,553566
2018_2,1981670,1429549,2944,621048,479250,141798,174607,611991,496,221,8296,9946,552121
2018_3,1933045,1391701,2876,602051,469811,132240,161039,607550,496,323,8103,9263,541344
2018_4,1982658,1413980,2742,596875,476362,120513,177855,618720,496,235,7864,9193,568678
2019_1,2037707,1463532,2680,603007,476592,126415,192277,647582,496,155,7822,9513,574175
2019_2,2093734,1495518,2675,614457,491938,122519,198621,661472,496,341,7692,9764,598216
2019_3,2198506,1564080,1076,629865,511891,117974,229506,685235,496,332,7224,10346,634426
2019_4,2095125,1455816,1173,611177,494974,116203,140908,683909,496,316,7522,10315,639309
