#{"manifestVersion":1,"columnDefinitions":[{"csvName":"Country","dbName":"country","csvIndex":0,"type":"text"},{"csvName":"Time","dbName":"time","csvIndex":1,"type":"text"},{"csvName":"category_1","dbName":"category_1","csvIndex":2,"type":"text"},{"csvName":"category_2","dbName":"category_2","csvIndex":3,"type":"text"},{"csvName":"category_3","dbName":"category_3","csvIndex":4,"type":"text"},{"csvName":"category_4","dbName":"category_4","csvIndex":5,"type":"text"},{"csvName":"value","dbName":"value","csvIndex":6,"type":"integer"}]}
"Country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9612"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"37"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6411"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1935"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"General Government"	""	"20285"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Households"	""	"1445"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"NPISHs"	""	"56"
"finnland"	"1999-01-01"	"Total"	"Rest of the world"	""	""	"36596"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2265"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9078"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"51"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6133"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1871"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"General Government"	""	"20284"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"Households"	""	"1305"
"finnland"	"1999-04-01"	"Total"	"Domestic"	"NPISHs"	""	"56"
"finnland"	"1999-04-01"	"Total"	"Rest of the world"	""	""	"36953"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2021"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9032"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"64"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6045"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1547"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"General Government"	""	"18405"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"Households"	""	"1084"
"finnland"	"1999-07-01"	"Total"	"Domestic"	"NPISHs"	""	"55"
"finnland"	"1999-07-01"	"Total"	"Rest of the world"	""	""	"36017"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2711"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"7437"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"77"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5842"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1510"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"General Government"	""	"18068"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"Households"	""	"1438"
"finnland"	"1999-10-01"	"Total"	"Domestic"	"NPISHs"	""	"50"
"finnland"	"1999-10-01"	"Total"	"Rest of the world"	""	""	"36074"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2734"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"7769"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"155"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6272"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1316"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"General Government"	""	"16314"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"Households"	""	"1198"
"finnland"	"2000-01-01"	"Total"	"Domestic"	"NPISHs"	""	"49"
"finnland"	"2000-01-01"	"Total"	"Rest of the world"	""	""	"37144"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1988"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"7073"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"221"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6258"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"977"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"General Government"	""	"14439"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"Households"	""	"820"
"finnland"	"2000-04-01"	"Total"	"Domestic"	"NPISHs"	""	"49"
"finnland"	"2000-04-01"	"Total"	"Rest of the world"	""	""	"36968"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2125"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"7149"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"323"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6251"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"898"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"General Government"	""	"12707"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"Households"	""	"761"
"finnland"	"2000-07-01"	"Total"	"Domestic"	"NPISHs"	""	"49"
"finnland"	"2000-07-01"	"Total"	"Rest of the world"	""	""	"39048"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2604"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"6476"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"389"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6417"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1152"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"General Government"	""	"11535"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"Households"	""	"1098"
"finnland"	"2000-10-01"	"Total"	"Domestic"	"NPISHs"	""	"54"
"finnland"	"2000-10-01"	"Total"	"Rest of the world"	""	""	"38036"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2913"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"6032"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"431"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6351"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1088"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"General Government"	""	"10782"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"Households"	""	"1253"
"finnland"	"2001-01-01"	"Total"	"Domestic"	"NPISHs"	""	"64"
"finnland"	"2001-01-01"	"Total"	"Rest of the world"	""	""	"38078"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"3083"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"5252"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"474"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6304"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1086"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"General Government"	""	"9916"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"Households"	""	"1408"
"finnland"	"2001-04-01"	"Total"	"Domestic"	"NPISHs"	""	"74"
"finnland"	"2001-04-01"	"Total"	"Rest of the world"	""	""	"36508"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2534"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"4840"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"545"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5975"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1108"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"General Government"	""	"8958"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"Households"	""	"1163"
"finnland"	"2001-07-01"	"Total"	"Domestic"	"NPISHs"	""	"83"
"finnland"	"2001-07-01"	"Total"	"Rest of the world"	""	""	"39287"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2034"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"5696"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"510"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5510"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1000"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"General Government"	""	"8338"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"Households"	""	"918"
"finnland"	"2001-10-01"	"Total"	"Domestic"	"NPISHs"	""	"93"
"finnland"	"2001-10-01"	"Total"	"Rest of the world"	""	""	"40291"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2390"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"3184"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"554"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3784"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1037"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"General Government"	""	"7226"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"Households"	""	"1267"
"finnland"	"2002-01-01"	"Total"	"Domestic"	"NPISHs"	""	"93"
"finnland"	"2002-01-01"	"Total"	"Rest of the world"	""	""	"40670"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2204"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"3007"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"547"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3390"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1086"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"General Government"	""	"6599"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"Households"	""	"1127"
"finnland"	"2002-04-01"	"Total"	"Domestic"	"NPISHs"	""	"93"
"finnland"	"2002-04-01"	"Total"	"Rest of the world"	""	""	"42360"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1673"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"3010"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"575"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"2312"
