Country,Time,Total,"Total
Domestic","Total
Domestic
Non-financial corporations","Total
Domestic
Financial and insurance corporations","Total
Domestic
Financial and insurance corporations
Central Bank","Total
Domestic
Financial and insurance corporations
Other MFIs","Total
Domestic
Financial and insurance corporations
Money market funds","Total
Domestic
Financial and insurance corporations
Insurance corporations and pension funds","Total
Domestic
Financial and insurance corporations
Others","Total
Domestic
General Government","Total
Domestic
Households","Total
Domestic
NPISHs","Total
Rest of the world"
finnland,2010_3,"76,900","8,485",861,"4,549",242,"2,566",241,"1,163",337,"2,696",67,312,"68,415"
finnland,2010_4,"79,752","8,653",775,"4,978",242,"2,964",267,"1,155",350,"2,569",19,312,"71,099"
finnland,2011_1,"76,297","7,801",658,"4,428",242,"2,654",151,"1,080",301,"2,389",19,307,"68,496"
finnland,2011_2,"77,188","8,701",631,"5,297",202,"3,519",195,"1,076",305,"2,446",20,307,"68,487"
finnland,2011_3,"84,330","10,479",668,"5,635",229,"3,907",265,829,405,"3,851",21,304,"73,851"
finnland,2011_4,"87,721","10,367",638,"5,295",239,"3,578",271,879,328,"4,091",19,324,"77,354"
finnland,2012_1,"87,224","10,071",455,"5,207",194,"3,528",100,"1,004",381,"4,112",110,187,"77,153"
finnland,2012_2,"93,787","9,945",833,"5,374",194,"3,289",305,"1,167",419,"3,452",102,184,"83,842"
finnland,2012_3,"92,603","10,003",631,"5,536",66,"3,482",166,"1,454",368,"3,619",69,148,"82,600"
finnland,2012_4,"95,932","9,974",627,"5,722",112,"3,312",154,"1,621",523,"3,387",68,170,"85,958"
finnland,2013_1,"97,338","10,679","1,703","5,560",112,"3,218",288,"1,305",637,"3,179",65,172,"86,659"
finnland,2013_2,"100,281","12,268","1,693","6,922",111,"4,680",261,"1,220",650,"3,469",66,118,"88,013"
finnland,2013_3,"94,636","11,161","1,693","5,555",43,"3,781",132,"1,057",542,"3,746",36,131,"83,475"
finnland,2013_4,"97,793","10,715",633,"6,150",142,"4,011",138,"1,224",635,"3,789",35,108,"87,078"
finnland,2014_1,"101,681","9,647",675,"5,706",169,"3,683",96,"1,124",634,"3,191",36,39,"92,034"
finnland,2014_2,"106,483","11,550","1,438","7,043",362,"4,575",85,"1,542",479,"2,975",35,59,"94,933"
finnland,2014_3,"106,683","10,666","1,483","6,069",394,"3,573",64,"1,684",354,"3,049",31,34,"96,017"
finnland,2014_4,"110,780","11,482","1,919","6,537",394,"3,959",65,"1,898",221,"2,960",30,36,"99,298"
finnland,2015_1,"113,886","11,881",391,"8,565","1,105","5,133",143,"1,942",242,"2,870",17,38,"102,005"
finnland,2015_2,"114,759","13,676",344,"10,625","3,211","5,148",178,"1,781",307,"2,649",14,44,"101,083"
finnland,2015_3,"111,556","14,503",293,"12,035","5,300","4,651",108,"1,685",291,"2,126",13,36,"97,053"
finnland,2015_4,"114,663","16,426",99,"14,882","7,599","5,232",94,"1,678",279,"1,399",12,34,"98,237"
finnland,2016_1,"118,658","19,841",98,"18,280","10,256","5,991",47,"1,759",227,"1,417",12,34,"98,817"
finnland,2016_2,"116,211","22,273",42,"21,096","13,811","5,624",85,"1,378",198,"1,107",5,23,"93,938"
finnland,2016_3,"115,862","24,627",9,"23,760","16,606","5,435",117,"1,367",235,831,5,22,"91,235"
finnland,2016_4,"117,879","27,085",377,"25,713","19,276","4,742",184,"1,290",221,968,5,22,"90,794"
finnland,2017_1,"118,110","28,060",57,"26,495","20,739","4,144",146,"1,284",182,"1,483",5,20,"90,050"
finnland,2017_2,"114,727","28,485",20,"27,435","21,724","4,199",130,"1,224",158,"1,006",5,19,"86,242"
finnland,2017_3,"113,584","29,989",30,"28,438","22,601","4,106",147,"1,412",172,"1,504",4,13,"83,595"
finnland,2017_4,"116,482","31,441",30,"29,745","24,594","3,569",71,"1,391",120,"1,649",4,13,"85,041"
finnland,2018_1,"115,326","31,441",30,"30,111","25,135","3,532",142,"1,190",112,"1,283",4,13,"83,885"
finnland,2018_2,"116,656","32,654",17,"31,911","26,468","4,234",44,"1,046",119,708,4,14,"84,002"
finnland,2018_3,"114,504","32,301",41,"31,505","26,333","4,035",41,999,97,738,4,13,"82,203"
finnland,2018_4,"115,423","33,066",26,"32,450","27,200","4,157",15,955,123,572,4,14,"82,357"
finnland,2019_1,"118,867","35,374",44,"34,145","28,099","5,031",0,855,160,"1,168",4,13,"83,493"
finnland,2019_2,"123,915","35,966",30,"34,891","28,798","5,082",0,830,181,"1,040",4,1,"87,949"
finnland,2019_3,"121,832","35,648",25,"34,952","27,937","5,982",0,825,208,666,4,1,"86,184"
finnland,2019_4,"118,734","33,934",17,"33,073","27,885","4,152",0,767,269,839,4,1,"84,800"
